date,stock_symbols,body,score
Fri Jul 10 21:47:36 UTC 2009,"AAPL,GOOG",<very positive>@dustin I&amp;#39;m long $aapl or at least until $goog OS is out next year.</very positive>,4
Fri Jul 10 22:26:10 UTC 2009,GOOG,<negative>@chris $goog os is a major fail waiting to happen.</negative>,-3
Sat Jul 11 05:35:10 UTC 2009,GOOG,<neutral>$GOOG nice rally off breakdown</neutral>,0
Sat Jul 11 23:36:50 UTC 2009,GOOG,<neutral>$GOOG</neutral>,0
Fri Aug 21 15:54:06 UTC 2009,"GOOG,T",<neutral>Interesting article about $T&#39;s resistance against $GOOG Voice --&gt;  http://bit.ly/5Xw4v (ht @fentoni22)</neutral>,0
Sun Aug 23 15:18:30 UTC 2009,"GOOG,YHOO",<neutral> Yahoo Finance gets it; Google Finance doesn&#39;t http://bit.ly/zPUcC $YHOO $GOOG $$</neutral>,0
Mon Aug 31 21:40:14 UTC 2009,GOOG,"<neutral>RT @sayemislam &quot;if the internet was a human body, $FBOOK would be the brain, $GOOG would be the spine, and $TWIT would be the mouth&quot;</neutral>",0
Tue Sep 01 14:48:56 UTC 2009,GOOG,<neutral>$goog</neutral>,0
Tue Sep 01 17:11:47 UTC 2009,GOOG,"<neutral>Our $GOOG $400 puts purchased on Friday at $3.60, now trading at $5.00, thats what happens when you follow the rules.</neutral>",0
Tue Sep 01 20:20:21 UTC 2009,GOOG,<neutral>Jim Cramer is going to recommend buying $GOOG tonight...  b/c gmail is down and he needs the extra $$ before he sells all of his shares</neutral>,0
Tue Sep 01 20:21:07 UTC 2009,GOOG,<neutral>someone at $GOOG with a little bit of an itchy trigger finger on the gmail maintenance planned for 5PM pacific</neutral>,0
Tue Sep 01 20:51:41 UTC 2009,GOOG,<neutral>OMG $GOOG WHERE IS MY EMAIL??? </neutral>,0
Tue Sep 01 20:57:20 UTC 2009,GOOG,<neutral>^^lol. and mine? RT @bnkr0 OMG $GOOG WHERE IS MY EMAIL??? </neutral>,0
Tue Sep 01 21:12:31 UTC 2009,GOOG,<neutral>Who needs $goog gmail you got StockTwits Desktop direct messages.</neutral>,0
Tue Sep 01 21:18:23 UTC 2009,GOOG,"<very negative>I&#39;m sweating and itching like James Frey. This Gmail outage has left me confused, angry, hurt. $GOOG #FAIL</very negative>",-7
Tue Sep 01 23:51:47 UTC 2009,GOOG,<negative>Anyone else notice how $GOOG blamed YOU for their #GFAIL? &quot;Unable to reach Gmail.  Please check your internet connection.&quot;</negative>,-2
Wed Sep 02 00:16:22 UTC 2009,GOOG,<neutral>Traders - Tonight&#39;s Trading Videos are Posted -- A look at $GOOG and StockTwits -  http://bit.ly/3oPAfL</neutral>,0
Wed Sep 02 13:37:53 UTC 2009,"GOOG,MSFT,YHOO","<positive>$msft PE 14.8, $goog PE 31, $yhoo PE 787 ?? such good move turning down 35/shr</positive>",2
Wed Sep 02 20:25:14 UTC 2009,"GOOG,NFLX",<neutral>YouTube in talks to stream movies for rentals. $GOOG $APPL $NFLX</neutral>,0
Thu Sep 03 01:25:26 UTC 2009,GOOG,<neutral>$GOOG Gmail crash explained on the Gmail blog --&gt;  http://bit.ly/24TbqI</neutral>,0
Thu Sep 03 07:17:10 UTC 2009,GOOG,<neutral>howdy $GOOG</neutral>,0
Thu Sep 03 12:17:13 UTC 2009,GOOG,<positive>I am interested to buy $GOOG volatility ... any suggestions on well priced Straddle and/or other ways to do it?</positive>,1
Fri Sep 04 17:33:57 UTC 2009,GOOG,<positive>A Look at Daily Google $GOOG Trend and Support Levels http://bit.ly/19ZEIw #mkt</positive>,1
Fri Sep 04 19:06:13 UTC 2009,GOOG,<neutral>Testing $GOOG</neutral>,0
Tue Sep 08 12:10:00 UTC 2009,"AAPL,GOOG,RIMM,SQNM,SRS,SVA","<positive>positioned pretty good this morning. $SVA,$SQNM,$AAPL,$GOOG,$RIMM.  still looking to add to my short position $SRS</positive>",1
Tue Sep 08 12:58:27 UTC 2009,"AAPL,BAC,C,END,FRE,GOOG,TI,TIVO","<neutral>$GOOG, $TI, $C, $BAC, $FRE, $AAPL, $TIVO, $END -&quot;Fastest Growth &amp; Decline in Tweets over the Labor day weekend&quot; - http://chart.ly/c6hwn9</neutral>",0
Tue Sep 08 13:00:09 UTC 2009,"AAPL,GLD,GOOG,QQQQ,SPY,UNG","<neutral>$AAPL 170.31, $GLD 97.53, $SPY 102.06, $UNG 9.54, $GOOG 461.10, $QQQQ 40.36 - Fueled by NASDAQ Last Sale http://bit.ly/datajunkies</neutral>",0
