Tue Jul 14 13:58:53 UTC 2009,GS,"<very negative>$GS crushed numbers, what a shock. At least the market isn&#39;t bidding it up on the &#39;news&#39;</very negative>",-4
Fri Jul 17 20:55:18 UTC 2009,GS,<neutral>Paulson wears $GS underpants.</neutral>,0
Thu Aug 06 15:23:23 UTC 2009,GS,<neutral>$GS says 2008 commodity redux coming.  http://bit.ly/mPUH4</neutral>,0
Thu Aug 06 16:02:47 UTC 2009,GS,<negative>@stevenplace I blame $GS</negative>,-2
Thu Aug 06 16:13:07 UTC 2009,GS,<negative>@kykim that&#39;s it. $GS is manipulating twitter uptime to time the market.</negative>,-2
Thu Aug 27 18:15:22 UTC 2009,GS,"<negative>$GS motto: when in doubt, kill the dollar</negative>",-2
Tue Sep 01 15:41:14 UTC 2009,GS,"<negative>$GS if it breaks 160, all is lost</negative>",-1
Tue Sep 01 15:44:52 UTC 2009,GS,<neutral>@ldrogen $GS agreed</neutral>,0
Wed Sep 02 00:59:34 UTC 2009,GS,<neutral>$GS Gap down coming tommorow?</neutral>,0
Wed Sep 02 13:04:43 UTC 2009,"GS,TXT",<neutral>Watching to see what the $GS upgrade will do for $TXT  http://chart.ly/dsys8y</neutral>,0
Wed Sep 02 14:04:10 UTC 2009,GS,<very negative>$GS just turned negative could be a really bad day for banks!!!</very negative>,-5
Wed Sep 02 14:10:09 UTC 2009,GS,<neutral>@sgibson804 agree. if $GS breaks ~160.00 watch out below</neutral>,0
Wed Sep 02 15:13:18 UTC 2009,GS,"<neutral>if you want your post to show in the web stream you still need $$ or $GS in your desktop post, this will be fixed soon with more integration</neutral>",0
Wed Sep 02 15:13:18 UTC 2009,GS,"<neutral>if you want your post to show in the web stream you still need $$ or $GS in your desktop post, this will be fixed soon with more integration</neutral>",0
Wed Sep 02 15:13:25 UTC 2009,GS,"<neutral>if you want your post to show in the web stream you still need $$ or $GS in your desktop post, this will be fixed soon with more integration</neutral>",0
Wed Sep 02 15:46:46 UTC 2009,GS,<neutral>If $GS breaks 159 sell sell sell</neutral>,0
Wed Sep 02 16:45:53 UTC 2009,"AIG,FNM,FRE,GS","<neutral>in some $FNM 1.44 $FRE 1.71, $AIG, $GS, XLF looking up</neutral>",0
Wed Sep 02 17:26:12 UTC 2009,GS,<negative>i am with @annemarie2006 n a short of $gs below 158.80 if it triggers.  she&#39;s hot and hot :)</negative>,-3
Wed Sep 02 19:05:58 UTC 2009,GS,<neutral>There goes $GS (down)</neutral>,0
Wed Sep 02 19:06:40 UTC 2009,GS,<neutral>@A_F That&#39;s one of those things you can&#39;t help but go *HAHAHAHAHAHAHA!* $gs</neutral>,0
Wed Sep 02 19:11:32 UTC 2009,GS,<neutral>@A_F I think if $GS breaks 157 the next stop could easily be 140ish.</neutral>,0
Wed Sep 02 19:16:17 UTC 2009,GS,<neutral>@clandersen 150 to 153 anyway (should it close blow 147ish (I concur) $GS</neutral>,0
Wed Sep 02 19:17:21 UTC 2009,GS,<neutral>@clandersen ment that to be close below 157 gets 150-153 range $GS</neutral>,0
Wed Sep 02 19:47:52 UTC 2009,GS,<neutral>$GS LOD</neutral>,0
Wed Sep 02 19:54:03 UTC 2009,GS,<negative>$GS definitely caused this market to go nowhere today. Those tricksters!</negative>,-2
Thu Sep 03 13:49:00 UTC 2009,GS,"<positive>$GS up nicely, should support market rally at the moment.</positive>",3
Thu Sep 03 15:49:16 UTC 2009,"BAC,C,DB,FAS,GS,JPM,MS,WFC","<very positive>$BAC $C $WFC $GS $MS $JPM $FAS I saw that better sentiment for financial stocks coming in the European session this AM, holding $DB long too</very positive>",4
Thu Sep 03 16:30:34 UTC 2009,"GS,JPM","<neutral>Chart WSJ on Pay, $JPM vs $GS 1,626 vs 953 ppl &gt; $1mil bonus  $JPM has ~26K ppl in I-Bank to $GS &#39;s 30K ppl http://bit.ly/8FdXL </neutral>",0
Thu Sep 03 17:15:45 UTC 2009,GS,<positive>$GS staying strong</positive>,1
Thu Sep 03 19:20:33 UTC 2009,GS,<positive>$GS halfway thru painting a beautiful right shoulder on 1min...neckline at 160.20ish</positive>,3
Thu Sep 03 19:39:57 UTC 2009,"AUY,FORD,GS",<negative>Stopped out of Short $gs position. Loss. Took Gold profit $AUY. Riding $ford.....</negative>,-2
