Wed Sep 02 15:01:56 UTC 2009,LVS,<very negative>$LVS starting to flash on our short squeeze screener</very negative>,-4
Wed Sep 02 17:52:04 UTC 2009,LVS,<positive>RT @linlee888 $LVS nice to see it heading back to $15 </positive>,2
Fri Sep 04 14:55:49 UTC 2009,LVS,<neutral>$LVS might pop here</neutral>,0
Fri Sep 04 15:42:58 UTC 2009,LVS,"<very negative>$LVS trying for 14.8 again. Think a lot of people, including myself, are waiting for this to breach. Short term u/s only to $15 though.</very negative>",-6
Fri Sep 04 19:27:37 UTC 2009,"JAZZ,LVS,WYNN","<positive>Very happy with my $LVS and $WYNN plays, though I&#39;ll keep holding since they&#39;re more longterm plays. Congrats to those who played $JAZZ</positive>",2
Tue Sep 08 13:29:32 UTC 2009,LVS,"<very negative>That $LVS has been flashing on our short squeeze since last week, check out my Sept 2nd post on StockTwits Desktop...</very negative>",-4
Tue Sep 08 14:51:08 UTC 2009,LVS,<neutral>In $LVS 16.15. Might have legs here.</neutral>,0
Wed Sep 09 13:36:38 UTC 2009,LVS,<neutral>Watching $LVS</neutral>,0
Wed Sep 09 13:45:34 UTC 2009,LVS,<neutral>$LVS 1596</neutral>,0
Wed Sep 09 15:42:18 UTC 2009,"ANF,LVS",<positive>RT @hedgieguy HUGE HOLLA to @dasan and his $ANF &amp; $LVS calls... both beautiful trades $$</positive>,3
Wed Sep 09 15:43:13 UTC 2009,LVS,<neutral>$LVS Rocken...</neutral>,0
Wed Sep 09 16:50:47 UTC 2009,"LVS,MGM,WYNN","<positive>$LVS $MGM $WYNN the game continues, some of the best stocks in past half year. We got to know about it through Stocktwits, Thx 4 information</positive>",2
Wed Sep 09 18:03:18 UTC 2009,LVS,<neutral>Took off a little $LVS for 6%</neutral>,0
Wed Sep 09 19:59:35 UTC 2009,"AIG,WYNN,VLCM,USEG,SBUX,NFLX,MWA,MGM,LVS,LIZ,IMMU,CPX,CAR,AIXG,ZQK",<positive>Best movers out of portfolio/watchlist up&gt;4%: $LVS $MGM $WYNN $SBUX $AIG $CAR $NFLX $ZQK $VLCM $CPX $MWA $AIXG $USEG $LIZ $IMMU </positive>,2
Thu Sep 10 16:26:11 UTC 2009,LVS,<neutral>$LVS moving</neutral>,0
Fri Sep 11 08:46:15 UTC 2009,"JPM,LVS,MGM,MS,UBS,WYNN",<neutral>$WYNN $LVS $MGM $JPM $MS $UBS Wynn to raise up to $1billion by listing its Macau assets on the HK Stock Exchange $$</neutral>,0
Fri Sep 11 09:05:27 UTC 2009,"LVS,WYNN",<neutral>RT @StockTwaiter 888 Holding signs deal with Harrahs Entertainment: LONDON (MarketWatch) http://bit.ly/dd34l $LVS MGM $WYNN</neutral>,0
Fri Sep 11 12:02:54 UTC 2009,LVS,"<negative>$lvs upgrade at stern agee to 24.5, highest on street...big news</negative>",-2
Fri Sep 11 19:17:19 UTC 2009,"LVS,MGM,WYNN","<very positive>$LVS $MGM $WYNN Early news made the day for casino stocks, glad we were in it since a long time http://is.gd/39PPU &amp; http://is.gd/39Q5v $$</very positive>",4
Mon Sep 14 12:59:18 UTC 2009,"LVS,MGM,WYNN",<neutral>$LVS $WYNN $MGM Where bets should have been placed - a direct comparison of casino stocks - http://is.gd/3g2KS re-viewing the 6 month rally</neutral>,0
