Fri Sep 04 14:33:49 UTC 2009,"INTC,MU,STM",<neutral>$STM $MU $INTC NOR Flash acqusition-Numonyx does NOR partnership w/ Intel - Micron (NAND flash) rumored to buy it http://bit.ly/KcjVy </neutral>,0
Thu Sep 17 17:58:19 UTC 2009,MU,<neutral>RT @nickperry $MU on put buying side of option flow table - http://bit.ly/Rccm7 - stock hit new annual high this morning</neutral>,0
Tue Oct 20 19:26:23 UTC 2009,MU,<very positive>Scaling in first long position in $MU</very positive>,4
Wed Oct 21 13:42:41 UTC 2009,"JAZZ,MU","<very positive>Took $672 profit on $JAZZ, will watch closely. Entering $MU at this support level.</very positive>",4
Wed Oct 21 14:47:33 UTC 2009,MU,<very positive>Long $MU first position.</very positive>,4
Wed Oct 21 14:54:07 UTC 2009,MU,<neutral>Loading the boat with $MU</neutral>,0
Fri Oct 23 13:32:16 UTC 2009,MU,<very positive>Largest position long in $MU. Like it to $8.25</very positive>,6
Thu Oct 29 23:22:15 UTC 2009,"MEA,MU,VGZ","<positive>I need an experts opinion! Which of these do you think will do the best over a week? $VGZ, $MU, or $MEA? What price&#39;s are achievable?</positive>",2
Sat Oct 31 17:01:29 UTC 2009,"AMD,XLE,URE,TSM,SKF,Q,NOK,MU,FXI,FNM,EWZ,EWJ,EMC,EFA,AUY,XOM","<neutral>weekend review at http://www.swing-high.com $SKF, $EWJ, $TSM, $EWZ, $FXI, $FNM, $XOM, $AMD, $EFA, $URE, $XLE, $EMC, $NOK, $MU, $Q, $AUY</neutral>",0
Wed Nov 04 15:17:23 UTC 2009,MU,<neutral>Big morning move on $MU. </neutral>,0
Mon Nov 09 14:42:19 UTC 2009,MU,<neutral>$MU</neutral>,0
Mon Nov 09 15:10:03 UTC 2009,MU,<very negative>taking a bet to short $MU at this level.</very negative>,-4
Tue Nov 10 14:11:22 UTC 2009,MU,<neutral>Will be watching price action closely in $MU today.</neutral>,0
