$0 0 billion in debt,1-78-1257344,2073.0,in debt
$0 0 billion loss for,1-19-3275904,82.0,loss
$0 0 billion quarterly loss,1-24-5306624,1135.0,loss
$0 0 or less that,1-3-2993792,182.64,less
$0 billion in debt for,1-52-1023872,1730.0,in debt
$0 million loss for the,1-25-3847424,405.39,loss
& poor 0 index fell,1-77-6459392,3379.0,fell
& poor 0 index shed,1-2-4455424,46.77,shed
& poor 0-stock index fell,1-23-2575488,42.36,fell
&amp poor 0 index declined,1-26-6009472,5890.0,declin
&amp poor 0 index dropped,1-14-1855616,4270.0,drop
&amp poor 0 index fell,1-7-4504064,4935.0,fell
&amp poor 0 index lost,1-9-2991360,4355.0,lost
&amp poor 0 index shed,1-9-3040000,4714.0,shed
&amp poor 0 index slid,1-16-4647552,4462.0,slid
&amp poor 0 index slipped,1-19-357504,4761.0,slip
&amp poor 0 index tumbled,1-16-3560448,4574.0,tumble
0 0 percent drop in,1-73-3312384,35.0,drop
0 0% decline in revenue,1-18-1826432,160.79,declin
0 0-point drop in the,1-17-8422016,445.41,drop
0 and its yield fell,1-62-2346880,1016.0,fell
0 billion in debt to,1-74-9346176,1562.0,in debt
0 billion quarterly loss at,1-24-5681152,1056.0,loss
0 down and 0 unchanged,1-4-6213760,440.0,down
0 fell 0 0 percent,1-14-5437952,90.0,fell
0 futures were down 0,1-51-4513792,456.0,down
0 index dropped 0 0,1-7-9535872,95.02,drop
0 index fell 0 0,1-73-464512,3605.0,fell
0 index lost 0 0,1-10-2003968,62.29,lost
0 index was down 0,1-20-3810944,1708.0,down
0 industrial stocks fell 0,1-23-3837696,41.57,fell
0 industrials dropped 0 0,1-5-3725824,204.0,drop
0 industrials fell 0 0,1-5-199424,189.0,fell
0 industrials lost 0 0,1-21-7677824,45.62,lost
0 or less that are,1-3-3365888,220.88,less
0 per cent decline in,1-26-8888960,266.0,declin
0 per cent drop in,1-14-1544320,186.21,drop
0 per cent fall in,1-14-9365632,157.06,fall
0 per cent lower at,1-14-9368064,97.5,lower
0 percent below its record,1-10-6539648,108.01,low
0 percent below the same,1-17-1084672,344.7,low
