0 percent above the corresponding,1-16-5520640,321.63,above
above $0 a barrel on,1-49-3516672,2876,above
above $0 a barrel tuesday,1-64-3755008,2871,above
above the 0 0 level,1-19-4832384,339.83,above
above the 0 cents analysts,1-31-5180160,318.87,above
above the 0 cents per,1-13-2988928,318.96,above
after its first close above,1-20-3859584,139.69,above
and were above fair value,1-15-5039104,2821,above
dow jones industrial average above,1-17-4467584,4977,above
its first close above 0,1-20-3862016,126.03,above
jones industrial average closed above,1-20-4898048,62.61,above
points and were above fair,1-18-58368,4864,above
0 per cent above,1-23-442624,2067,above
0 percent above its,1-28-2514688,91.15,above
0 percent above the,1-23-9827712,3678,above
0 percent above their,1-18-4674304,1823,above
above $0 a barrel,1-36-9927424,6114,above
above 0 0 for,1-5-2582784,3862,above
above 0 0 points,1-21-6420480,3904,above
above last year daily,1-62-9664768,3579,above
above the $0 0,1-25-7964800,1870,above
above the 0 0,1-20-1712128,1843,above
above the 0 cents,1-18-8684672,3690,above
above the average analyst,1-21-7089280,315.36,above
above the expected range,1-47-2334720,3557,above
above the stock 0-week,1-18-6483712,1905,above
above wall street estimates,1-29-9557760,9018,above
above wall street expectations,1-20-8560640,8952,above
above wall street view,1-37-542336,3573,above
and were above fair,1-13-8183680,5600,above
another quarter of above-average,1-17-7867520,232.91,above
at a price above,1-68-6104320,1823,above
close above 0 0,1-25-5510912,1827,above
closed above 0 0,1-24-3638272,3301,above
first close above 0,1-20-1040896,205.34,above
industrial average closed above,1-20-4890752,137.34,above
its first close above,1-20-4394624,3758,above
jones industrial average above,1-17-4452992,4027,above
oil prices hovered above,1-66-6953088,1855,above
percent above its early,1-70-6658816,1823,above
percent above the corresponding,1-16-5508480,321.54,above
points and were above,1-15-4924800,8032,above
points to close above,1-25-4477312,3908,above
profit above wall street,1-37-1529728,3585,above
some 0 percent above,1-29-6804736,62.1,above
times and dates above,1-23-7213312,267.46,above
to close above the,1-66-6809600,1823,above
were above fair value,1-15-4946688,5604,above
0 0% above,1-30-65664,28.76,above
0 percent above,1-5-3725824,1880,above
0 points above,1-4-3533696,39.23,above
0% above its,1-31-9236736,70.03,above
0% above the,1-28-3784192,311.2,above
a penny above,1-25-3611520,1950,above
a price above,1-44-1884800,1820,above
a reading above,1-33-9511552,2658,above
above $0 0,1-58-4878592,3414,above
above $0 a,1-70-2427136,1879,above
above 0 0,1-3-8152064,2006,above
above 0 for,1-28-8147200,101.54,above
above 0 percent,1-26-938752,30.79,above
above fair value,1-15-4944256,2754,above
above its early,1-70-299136,1823,above
above its initial,1-36-8976512,2829,above
above last year,1-36-4895616,1868,above
above the $0,1-18-1111424,1859,above
above the 0,1-5-4652416,1907,above
above the 0-cent,1-4-6795008,314.17,above
above the 0-day,1-41-4404352,1832,above
above the average,1-22-6048384,1835,above
above the company,1-27-8774656,1826,above
above the consensus,1-57-1330304,2240,above
above the corresponding,1-16-5501184,308.48,above
above the current,1-25-5569280,1820,above
above the expected,1-36-9239168,1844,above
above the industry,1-67-8212864,1817,above
above the ipo,1-24-1230592,1842,above
above the previous,1-60-8837888,1820,above
above the psychologically,1-43-4730240,1866,above
above the same,1-10-7247360,311.52,above
above the stock,1-12-3419392,1853,above
above the tree,1-52-2239872,3026,above
above the upper,1-54-3978752,2250,above
above wall street,1-13-3309952,3700,above
above what economists,1-68-5890304,2782,above
and above the,1-21-5586304,1835,above
and dates above,1-32-588544,238.62,above
and well above,1-62-2663040,1823,above
and were above,1-11-7264384,1940,above
at or above,1-42-2057472,1841,above
average closed above,1-20-3523968,44.8,above
basis points above,1-53-734464,4648,above
came in above,1-63-6775552,1820,above
close above 0,1-7-5257984,1856,above
close above the,1-25-4465152,1844,above
closed above 0,1-17-5340672,3315,above
closed above the,1-28-2813824,306.88,above
crude oil above,1-55-7264384,2985,above
earnings above analyst,1-53-3399936,3858,above
exercise price above,1-18-6466688,2500,above
first close above,1-21-2327424,1853,above
in quarter above,1-10-3460736,124.14,above
industrial average above,1-17-4440832,2982,above
is above the,1-66-6255104,1823,above
is well above,1-52-6712320,1826,above
of the above,1-48-8332032,1835,above
per cent above,1-23-420736,2068,above
percent above its,1-56-2624128,1835,above
percent above last,1-65-4236544,1817,above
percent above the,1-17-488832,1865,above
percent above their,1-18-4268160,1832,above
price above the,1-26-1466496,1826,above
price is above,1-66-6252672,1820,above
profit above wall,1-32-7580544,3574,above
quarter of above-average,1-17-7862656,212.05,above
quarterly profit above,1-20-3470464,2852,above
reported earnings above,1-52-6707456,1829,above
rising above $0,1-70-4127104,3634,above
stocks mentioned above,1-70-9054336,3486,above
that was above,1-49-2743296,1826,above
that were above,1-17-1704832,1844,above
to above $0,1-16-3769600,1840,above
to be above,1-47-8409856,1820,above
to break above,1-52-6466688,3048,above
to close above,1-14-5569280,1847,above
to just above,1-42-5104768,1826,above
to trade above,1-39-8988672,1820,above
traded above $0,1-49-975232,2471,above
was above analysts,1-53-6678272,1817,above
was above the,1-28-9779072,1838,above
was well above,1-23-3840128,1829,above
well above analysts,1-66-2091520,1817,above
well above the,1-18-6201600,1976,above
were above fair,1-13-3302656,2772,above
were above wall,1-29-9555328,3568,above
which is above,1-50-5489024,1835,above
which was above,1-43-581248,1826,above
will stay above,1-40-7930752,3304,above
&amp poor 0 index added,1-14-4491904,6100,added
0% as the discount added,1-20-2008832,387.41,added
added 0 0 million net,1-55-5357696,2078,added
added 0 0 percent to,1-25-9368064,30,added
added 0 0 points to,1-20-6062976,194.05,added
added 0 0 to 0,1-16-2276352,85,added
added in the press release,1-67-5698176,35,added
added to his holdings in,1-61-8769792,429,added
an article was added to,1-12-6201600,244.52,added
and nasdaq 0 futures added,1-34-7354368,794,added
article was added to google,1-12-6204032,384.13,added
dow jones industrial average added,1-15-4905344,3243,added
index added 0 0 percent,1-25-3341568,1688,added
index added 0 0 to,1-27-4401920,169.38,added
nasdaq 0 index futures added,1-66-6826624,2422,added
the nasdaq composite index added,1-12-7395712,2336,added
was added to google news,1-12-6206464,387.07,added
when an article was added,1-12-6199168,134.67,added
0 index added 0,1-24-3373184,3396,added
0 index futures added,1-66-6807168,2092,added
added 0 0 0,1-7-9988224,48,added
added 0 0 million,1-23-8601984,112,added
added 0 0 per,1-25-3956864,96,added
added 0 0 percent,1-7-1332736,220,added
added 0 0 percentage,1-20-1994240,40.48,added
added 0 0 points,1-18-7475968,4270,added
added 0 0 to,1-6-1838592,208,added
added 0 cents to,1-27-204288,172.11,added
added in the press,1-67-5048832,104,added
added it to its,1-71-4615936,24,added
added to google news,1-7-5934080,674.32,added
added to his holdings,1-45-9049472,860,added
added to the watchlist,1-27-9064064,27,added
added to their holdings,1-61-7733760,616,added
after goldman sachs added,1-71-2259328,569,added
an article was added,1-6-1865344,589.94,added
and france cac-0 added,1-60-7753216,1578,added
article was added to,1-8-3728256,752.54,added
as the company added,1-43-9015424,96,added
as the discount added,1-20-1991808,379.38,added
bank of america added,1-50-8271232,24,added
company added in the,1-67-5678720,80,added
composite index added 0,1-49-9389952,3746,added
contact the company added,1-67-2038016,1878,added
for july delivery added,1-51-629888,573,added
index added 0 0,1-7-7393280,1774,added
index added 0 0%,1-25-9620992,1698,added
it added 0 0,1-14-3217536,72.5,added
jones industrial average added,1-15-4902912,4532,added
nasdaq 0 futures added,1-57-6308608,1562,added
nasdaq composite index added,1-13-6177280,4624,added
poor 0 index added,1-14-4489472,10554,added
said it added 0,1-22-9178368,76,added
south korea kospi added,1-46-3779328,815,added
the company added 0,1-55-5294464,112,added
the company added a,1-50-87552,24,added
the company added in,1-51-1991808,104,added
the introduction of added,1-70-9314560,300,added
the nasdaq composite added,1-42-7135488,522,added
to be added to,1-69-5199616,44,added
was added to google,1-8-3730688,758.28,added
&amp cox added,1-61-7850496,963,added
0 futures added,1-34-7332480,445,added
0 index added,1-8-3645568,1697,added
0-stock index added,1-20-834176,1676,added
added $0 0,1-19-2128000,57,added
added $0 million,1-17-7894272,54,added
added 0 0,1-3-2714112,456,added
added 0 0%,1-16-9611264,55,added
added 0 cents,1-21-1152768,30,added
added 0 percent,1-26-4533248,18,added
added 0 to,1-20-1624576,156.46,added
added a net,1-22-8640896,2076,added
added in a,1-64-4270592,18,added
added in the,1-38-5720064,72,added
added it to,1-59-9659904,42,added
added it would,1-51-94848,21,added
added more than,1-50-695552,42,added
added to a,1-29-2855168,57,added
added to google,1-4-8166656,293.23,added
added to his,1-45-8750336,138,added
added to investors,1-58-4557568,21,added
added to recent,1-47-3044864,24,added
added to the,1-12-2132864,300,added
added to their,1-61-7811584,48,added
and added it,1-59-9657472,24,added
article was added,1-4-8164224,206.72,added
be added to,1-53-724736,30,added
but he added,1-15-3071616,141,added
cac 0 added,1-30-3351296,23.92,added
company added 0,1-52-3416960,42,added
company added a,1-43-9842304,27,added
company added in,1-51-1977216,39,added
company also added,1-70-6717184,18,added
composite index added,1-10-6398592,1977,added
for more value-added,1-62-3361024,31,added
france cac-0 added,1-58-4581888,1574,added
futures added 0,1-49-2130432,430,added
goldman sachs added,1-70-9664768,572,added
has added to,1-70-7646208,18,added
have been added,1-70-8173952,18,added
he added in,1-53-9603968,18,added
he added the,1-35-5026944,24,added
in june added,1-49-977664,27,added
index added 0,1-6-3502080,1817,added
index futures added,1-18-5530368,2112,added
industrial average added,1-15-4898048,1222,added
introduction of added,1-70-9268352,294,added
it added 0,1-20-758784,27,added
it had added,1-62-7660800,21,added
july delivery added,1-51-581248,566,added
korea kospi added,1-48-3550720,797,added
nasdaq composite added,1-42-7120896,516,added
of america added,1-50-8225024,18,added
product sales added,1-14-2337152,28.35,added
prudential financial added,1-63-8332032,65,added
said it added,1-6-9662336,78,added
stock average added,1-22-3998208,42,added
stocks added to,1-60-2879488,1343,added
the bank added,1-62-457216,21,added
the company added,1-9-1403264,183,added
the discount added,1-20-1982080,309.81,added
the dow added,1-61-6306176,964,added
the firm added,1-10-2680064,117,added
the government added,1-58-3648000,18,added
the insurer added,1-69-8733312,124,added
the president added,1-25-2925696,18,added
the report added,1-58-8023168,21,added
the sensex added,1-71-7544064,24,added
the source added,1-68-3044864,1713,added
though he added,1-44-8743040,18,added
though it added,1-39-4034688,33,added
to be added,1-27-6819328,39,added
verizon wireless added,1-43-6943360,1101,added
was added to,1-70-8747904,21,added
will be added,1-37-5858688,33,added
&amp poor 0 index advanced,1-51-4856704,6704,advanced
advanced 0 0 percent to,1-24-3416960,734,advanced
advanced ip-based business communications services,1-70-4613504,1437,advanced
are the world most advanced,1-50-576384,779,advanced
most advanced ip-based business communications,1-63-4148992,1467,advanced
one of the most advanced,1-54-7310592,744,advanced
the nasdaq composite index advanced,1-19-1198976,2955,advanced
the nation most advanced fiber-optic,1-58-5639808,763,advanced
the world most advanced ip-based,1-39-5454976,824,advanced
world most advanced ip-based business,1-53-325888,764,advanced
access to the advanced,1-70-4876160,728,advanced
advanced 0 0 percent,1-7-4479744,1596,advanced
advanced 0 0 points,1-22-9888512,2805,advanced
advanced 0 0 to,1-31-9319424,163.87,advanced
advanced 0 0% to,1-31-1704832,157.81,advanced
advanced ip-based business communications,1-63-4134400,2930,advanced
advanced micro devices inc,1-19-8623872,4206,advanced
composite index advanced 0,1-67-3973888,2561,advanced
in patients with advanced,1-59-7291136,2619,advanced
index advanced 0 0,1-31-7062528,40.15,advanced
it was in advanced,1-34-5170432,728,advanced
most advanced ip-based business,1-61-719872,1572,advanced
nasdaq composite index advanced,1-48-6829056,5876,advanced
nation most advanced fiber-optic,1-58-5630080,756,advanced
of the most advanced,1-54-7276544,736,advanced
poor 0 index advanced,1-51-4808064,5891,advanced
rival advanced micro devices,1-45-289408,5920,advanced
see the stock advanced,1-37-6884992,740,advanced
the nation most advanced,1-49-4684032,1504,advanced
the stock advanced 0,1-58-6459392,728,advanced
the stock market advanced,1-4-6381568,329.77,advanced
the world most advanced,1-51-3419392,1648,advanced
world most advanced ip-based,1-39-5671424,1588,advanced
0 index advanced,1-51-4691328,4196,advanced
advanced 0 0,1-4-5980288,875,advanced
advanced 0 0%,1-7-9375360,756,advanced
advanced 0 cents,1-19-6274560,734,advanced
advanced 0 percent,1-7-1828864,752,advanced
